                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0883,                 2.5123,                 1.4558,                0.00333,                      1,                0.17484,                0.11752,                0.67017,                 3.2407,                 1.2843,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6825,                 4.1523,                  2.456,                0.00333,                      1,                0.33843,                0.16268,                 0.5982,                 3.2195,                 1.1754,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                0.90814,                 2.8493,                 1.5307,                0.00333,                      1,                0.55153,                0.26749,                0.55002,                 3.1877,                 1.1472,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                0.98845,                 2.2035,                 1.2329,                0.00333,                      1,                0.63388,                0.33353,                0.52149,                 3.1421,                 1.1019,             0.00011228,             0.00011228,             0.00011228
                      5,                0.76524,                 2.2543,                 1.3206,                0.00333,                      1,                0.79499,                0.51001,                0.45132,                 3.0727,                 1.0587,             0.00013248,             0.00013248,             0.00013248
                      6,                 1.4682,                  2.868,                 1.6406,                0.00333,                      1,                0.88181,                0.73703,                0.41918,                  2.964,                 1.0208,              0.0001474,              0.0001474,              0.0001474
                      7,                0.90058,                 1.9596,                  1.347,                0.00333,                      1,                0.97136,                0.83935,                0.44715,                 2.8629,                 1.0301,             0.00015704,             0.00015704,             0.00015704
                      8,                 1.0492,                 2.3821,                 1.5408,                0.65009,                      1,                0.92407,                0.74631,                 0.4651,                 2.8146,                 1.0501,              0.0001614,              0.0001614,              0.0001614
                      9,                0.78596,                   2.12,                 1.1911,                0.97746,                0.70588,                0.92665,                0.72663,                0.47932,                  2.838,                 1.0667,             0.00016048,             0.00016048,             0.00016048
                     10,                0.83467,                 3.4743,                 1.0315,                0.87831,                0.85004,                0.92803,                0.72536,                0.51718,                 2.8584,                   1.12,             0.00015428,             0.00015428,             0.00015428
                     11,                0.73071,                 2.2526,                 1.4874,                0.43487,                0.94118,                0.95721,                0.70622,                0.55613,                 2.9098,                 1.1411,              0.0001428,              0.0001428,              0.0001428
                     12,                  0.752,                 4.9945,                 1.0467,                0.01168,                      1,                0.98342,                0.75276,                0.54601,                 2.8922,                 1.1053,             0.00012604,             0.00012604,             0.00012604
                     13,                 1.0155,                 2.0694,                  1.688,                0.00672,                      1,                  0.995,                0.79904,                0.51963,                 2.8927,                 1.0944,               0.000104,               0.000104,               0.000104
                     14,                0.47874,                 1.4999,                0.85728,                0.02564,                      1,                  0.995,                0.85779,                0.50045,                 2.8802,                 1.0884,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                0.62879,                 1.6207,                 1.1136,                0.35304,                      1,                  0.995,                0.87975,                0.48113,                 2.8745,                 1.0684,              4.408e-05,              4.408e-05,              4.408e-05
